-82.00 -35.00   1.4
-81.50 -35.00   2.0
-81.00 -35.00   1.9
-80.50 -35.00   1.2
-80.00 -35.00   1.5
-79.50 -35.00   1.8
-79.00 -35.00   1.7
-78.50 -35.00   1.5
-78.00 -35.00   1.5
-77.50 -35.00   1.1
-77.00 -35.00   1.3
-76.50 -35.00   3.7
-76.00 -35.00   1.5
-75.50 -35.00   0.9
-75.00 -35.00   0.0
-74.50 -35.00   0.0
-74.00 -35.00   0.0
-73.50 -35.00   0.0
-73.00 -35.00   0.0
-72.50 -35.00   0.0
-72.00 -35.00   0.0
-71.50 -35.00   0.0
-71.00 -35.00   0.0
-70.50 -35.00   0.0
-70.00 -35.00   0.0
-69.50 -35.00   0.0
-69.00 -35.00   0.7
-68.50 -35.00   3.0
-68.00 -35.00   7.8
-67.50 -35.00  11.9
-67.00 -35.00  10.4
-66.50 -35.00  12.7
-66.00 -35.00   7.2
-65.50 -35.00   6.7
-65.00 -35.00   3.3
-64.50 -35.00   3.5
-64.00 -35.00   1.4
-63.50 -35.00   2.7
-63.00 -35.00   0.1
-62.50 -35.00   0.2
-62.00 -35.00   0.8
-61.50 -35.00   2.7
-61.00 -35.00   3.2
-60.50 -35.00   0.2
-60.00 -35.00   0.1
-59.50 -35.00   0.0
-59.00 -35.00   0.0
-58.50 -35.00   0.0
-58.00 -35.00   0.2
-57.50 -35.00   0.4
-57.00 -35.00   0.0
-56.50 -35.00   0.0
-56.00 -35.00   0.0
-55.50 -35.00   0.0
-55.00 -35.00   0.0
-54.50 -35.00   0.0
-54.00 -35.00   0.0
-53.50 -35.00   0.0
-53.00 -35.00   0.0
-52.50 -35.00   0.0
-52.00 -35.00   0.0
-51.50 -35.00   0.0
-51.00 -35.00   0.0
-50.50 -35.00   0.0
-50.00 -35.00   0.0
-49.50 -35.00   0.0
-49.00 -35.00   0.0
-48.50 -35.00   0.0
-48.00 -35.00   0.0
-47.50 -35.00   0.0
-47.00 -35.00   0.0
-46.50 -35.00   0.0
-46.00 -35.00   0.0
-45.50 -35.00   0.0
-45.00 -35.00   0.0
-44.50 -35.00   0.0
-44.00 -35.00   0.0
-43.50 -35.00   0.0
-43.00 -35.00   0.0
-42.50 -35.00   0.0
-42.00 -35.00   0.0
-41.50 -35.00   0.0
-41.00 -35.00   0.1
-40.50 -35.00   0.1
-40.00 -35.00   0.0
-39.50 -35.00   0.0
